孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
用 O
。 O
北 O
京 O
健 O
都 O
药 O
业 O
有 O
限 O
公 O
司 O
具 O
有 O
消 B-DRUG_EFFICACY
炎 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
, O
养 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
调 I-DRUG_EFFICACY
经 I-DRUG_EFFICACY
， O
祛 B-DRUG_EFFICACY
毒 I-DRUG_EFFICACY
化 I-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
， O
补 O
气 O
养 O
颜 O
， O
促 B-DRUG_EFFICACY
进 I-DRUG_EFFICACY
骨 I-DRUG_EFFICACY
髓 I-DRUG_EFFICACY
造 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
， O
兴 O
奋 O
和 O
抑 O
制 O
子 O
宫 O
， O
快 B-DRUG_EFFICACY
速 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
， O
抑 B-DRUG_EFFICACY
菌 I-DRUG_EFFICACY
抗 I-DRUG_EFFICACY
炎 I-DRUG_EFFICACY
， O
提 B-DRUG_EFFICACY
高 I-DRUG_EFFICACY
机 I-DRUG_EFFICACY
体 I-DRUG_EFFICACY
免 I-DRUG_EFFICACY
疫 I-DRUG_EFFICACY
力 I-DRUG_EFFICACY
及 O
改 B-DRUG_EFFICACY
善 I-DRUG_EFFICACY
微 I-DRUG_EFFICACY
循 I-DRUG_EFFICACY
环 I-DRUG_EFFICACY
的 O
作 O
用 O
， O
有 O
气 O
血 O
双 O
补 O
之 O
疗 O
效 O
。 O
　 O
1 O
. O
对 O
心 O
血 O
管 O
系 O
统 O
的 O
作 O
用 O
： O
益 B-DRUG_INGREDIENT
母 I-DRUG_INGREDIENT
草 I-DRUG_INGREDIENT
、 O
人 B-DRUG_INGREDIENT
参 I-DRUG_INGREDIENT
、 O
白 B-DRUG_INGREDIENT
术 I-DRUG_INGREDIENT
、 O
川 B-DRUG_INGREDIENT
芎 I-DRUG_INGREDIENT
、 O
当 O
归 O
对 O
血 O
小 O
板 O
聚 O
集 O
、 O
血 O
栓 O
形 O
成 O
有 O
较 O
明 O
显 O
的 O
抑 O
制 O
作 O
用 O
。 O
2 O
. O
促 B-DRUG_EFFICACY
进 I-DRUG_EFFICACY
骨 I-DRUG_EFFICACY
髓 I-DRUG_EFFICACY
造 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
： O
当 B-DRUG_INGREDIENT
归 I-DRUG_INGREDIENT
、 O
白 B-DRUG_INGREDIENT
芍 I-DRUG_INGREDIENT
、 O
川 B-DRUG_INGREDIENT
芎 I-DRUG_INGREDIENT
、 O
熟 B-DRUG_INGREDIENT
地 I-DRUG_INGREDIENT
黄 I-DRUG_INGREDIENT
和 O
阿 B-DRUG_INGREDIENT
胶 I-DRUG_INGREDIENT
等 O
能 O
够 O
促 O
进 O
红 O
细 O
胞 O
、 O
H O
b O
、 O
白 O
细 O
胞 O
及 O
B O
P O
C O
的 O
生 O
成 O
， O
促 B-DRUG_EFFICACY
进 I-DRUG_EFFICACY
骨 I-DRUG_EFFICACY
髓 I-DRUG_EFFICACY
造 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
。 O
3 O
. O
兴 O
奋 O
和 O
抑 O
制 O
子 O
宫 O
： O
当 O
归 O
、 O
川 O
芎 O
和 O
益 O
母 O
草 O
等 O
能 O
够 O
双 O
向 O
调 O
节 O
子 O
宫 O
的 O
收 O
缩 O
和 O
松 O
弛 O
， O
从 O
而 O
达 O
到 O
调 O
整 O
月 O
经 O
的 O
目 O
的 O
。 O
END O
