孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
禁 O
用 O
。 O
本 O
品 O
药 O
膏 O
为 O
浅 O
棕 O
黄 O
色 O
的 O
乳 B-DRUG_DOSAGE
膏 I-DRUG_DOSAGE
； O
气 B-DRUG_TASTE
芳 I-DRUG_TASTE
香 I-DRUG_TASTE
。 O
贴 O
剂 O
为 O
不 O
含 O
药 O
的 O
圆 O
形 O
贴 O
片 O
。 O
复 O
合 O
管 O
装 O
。 O
5 O
g O
/ O
支 O
* O
2 O
支 O
/ O
盒 O
； O
贴 O
剂 O
直 O
径 O
3 O
. O
5 O
厘 O
米 O
。 O
活 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
散 I-DRUG_EFFICACY
寒 I-DRUG_EFFICACY
， O
调 B-DRUG_EFFICACY
经 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
。 O
用 O
于 O
痛 O
经 O
、 O
下 B-SYMPTOM
腹 I-SYMPTOM
坠 I-SYMPTOM
胀 I-SYMPTOM
、 O
腰 B-SYMPTOM
背 I-SYMPTOM
疼 I-SYMPTOM
痛 I-SYMPTOM
5 O
g O
* O
2 O
支 O
/ O
盒 O
活 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
散 I-DRUG_EFFICACY
寒 I-DRUG_EFFICACY
， O
调 B-DRUG_EFFICACY
经 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
。 O
用 O
于 O
痛 B-SYMPTOM
经 I-SYMPTOM
、 O
下 B-SYMPTOM
腹 I-SYMPTOM
坠 I-SYMPTOM
胀 I-SYMPTOM
、 O
腰 B-SYMPTOM
背 I-SYMPTOM
疼 I-SYMPTOM
痛 I-SYMPTOM
非 O
处 O
方 O
药 O
物 O
（ O
乙 O
类 O
） O
, O
外 O
用 O
药 O
物 O
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
外 O
用 O
， O
一 O
日 O
2 O
～ O
3 O
次 O
； O
痛 B-SYMPTOM
经 I-SYMPTOM
、 O
下 B-SYMPTOM
腹 I-SYMPTOM
坠 I-SYMPTOM
胀 I-SYMPTOM
者 O
取 O
药 O
膏 O
适 O
量 O
涂 O
入 O
脐 O
部 O
， O
再 O
贴 O
上 O
贴 O
剂 O
； O
腰 O
背 O
疼 O
者 O
可 O
直 O
接 O
涂 O
敷 O
。 O
END O
