孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
用 O
。 O
口 O
服 O
。 O
一 O
次 O
5 O
粒 O
， O
一 O
日 O
3 O
次 O
， O
饭 O
后 O
开 O
水 O
吞 O
服 O
或 O
遵 O
医 O
嘱 O
。 O
尚 O
不 O
明 O
确 O
。 O
清 B-DRUG_EFFICACY
热 I-DRUG_EFFICACY
利 I-DRUG_EFFICACY
湿 I-DRUG_EFFICACY
， O
凉 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
。 O
用 O
于 O
急 O
、 O
慢 B-DISEASE_GROUP
性 I-DISEASE_GROUP
肾 I-DISEASE_GROUP
盂 I-DISEASE_GROUP
肾 I-DISEASE_GROUP
炎 I-DISEASE_GROUP
血 O
尿 O
， O
肾 B-DISEASE_GROUP
小 I-DISEASE_GROUP
球 I-DISEASE_GROUP
肾 I-DISEASE_GROUP
炎 I-DISEASE_GROUP
血 B-SYMPTOM
尿 I-SYMPTOM
， O
泌 B-DISEASE_GROUP
尿 I-DISEASE_GROUP
结 I-DISEASE_GROUP
石 I-DISEASE_GROUP
及 O
肾 B-DISEASE
挫 I-DISEASE
伤 I-DISEASE
引 O
起 O
的 O
血 B-SYMPTOM
尿 I-SYMPTOM
及 O
不 O
明 O
原 O
因 O
引 O
起 O
的 O
血 B-SYMPTOM
尿 I-SYMPTOM
， O
亦 O
可 O
作 O
为 O
治 O
疗 O
泌 B-DISEASE_GROUP
尿 I-DISEASE_GROUP
系 I-DISEASE_GROUP
统 I-DISEASE_GROUP
肿 I-DISEASE_GROUP
瘤 I-DISEASE_GROUP
每 O
粒 O
装 O
0 O
. O
4 O
2 O
g O
江 O
苏 O
天 O
士 O
力 O
帝 O
益 O
药 O
业 O
有 O
限 O
公 O
司 O
清 B-DRUG_EFFICACY
热 I-DRUG_EFFICACY
利 I-DRUG_EFFICACY
湿 I-DRUG_EFFICACY
， O
凉 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
。 O
用 O
于 O
急 O
、 O
慢 B-DISEASE_GROUP
性 I-DISEASE_GROUP
肾 I-DISEASE_GROUP
盂 I-DISEASE_GROUP
肾 I-DISEASE_GROUP
炎 I-DISEASE_GROUP
血 O
尿 O
， O
肾 B-DISEASE_GROUP
小 I-DISEASE_GROUP
球 I-DISEASE_GROUP
肾 I-DISEASE_GROUP
炎 I-DISEASE_GROUP
血 O
尿 O
， O
泌 B-DISEASE
尿 I-DISEASE
结 I-DISEASE
石 I-DISEASE
及 O
肾 B-DISEASE
挫 I-DISEASE
伤 I-DISEASE
引 O
起 O
的 O
血 B-SYMPTOM
尿 I-SYMPTOM
及 O
不 O
明 O
原 O
因 O
引 O
起 O
的 O
血 B-SYMPTOM
尿 I-SYMPTOM
， O
亦 O
可 O
作 O
为 O
治 O
疗 O
泌 B-DISEASE_GROUP
尿 I-DISEASE_GROUP
系 I-DISEASE_GROUP
统 I-DISEASE_GROUP
肿 I-DISEASE_GROUP
瘤 I-DISEASE_GROUP
的 O
辅 O
助 O
药 O
物 O
。 O
END O
