孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
忌 O
服 O
。 O
口 O
服 O
。 O
一 O
次 O
2 O
~ O
4 O
片 O
， O
一 O
日 O
3 O
次 O
。 O
本 O
品 O
为 O
圆 O
形 O
薄 B-DRUG_DOSAGE
膜 I-DRUG_DOSAGE
衣 I-DRUG_DOSAGE
片 I-DRUG_DOSAGE
， O
除 O
去 O
薄 O
膜 O
衣 O
后 O
显 O
棕 O
色 O
至 O
棕 O
褐 O
色 O
； O
气 B-DRUG_TASTE
微 I-DRUG_TASTE
香 I-DRUG_TASTE
， O
味 B-DRUG_TASTE
苦 I-DRUG_TASTE
。 O
舒 O
肝 O
、 O
理 B-DRUG_EFFICACY
气 I-DRUG_EFFICACY
、 O
活 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
。 O
用 O
于 O
肝 B-SYMPTOM
气 I-SYMPTOM
不 I-SYMPTOM
舒 I-SYMPTOM
， O
胸 B-SYMPTOM
胁 I-SYMPTOM
胀 I-SYMPTOM
痛 I-SYMPTOM
， O
头 B-SYMPTOM
晕 I-SYMPTOM
目 I-SYMPTOM
眩 I-SYMPTOM
， O
食 B-SYMPTOM
欲 I-SYMPTOM
减 I-SYMPTOM
退 I-SYMPTOM
， O
月 B-SYMPTOM
经 I-SYMPTOM
不 I-SYMPTOM
调 I-SYMPTOM
， O
乳 B-SYMPTOM
房 I-SYMPTOM
胀 I-SYMPTOM
痛 I-SYMPTOM
或 O
伴 O
见 O
颜 B-SYMPTOM
面 I-SYMPTOM
黄 I-SYMPTOM
褐 I-SYMPTOM
斑 I-SYMPTOM
片 B-DRUG_DOSAGE
剂 I-DRUG_DOSAGE
( O
薄 B-DRUG_DOSAGE
膜 I-DRUG_DOSAGE
衣 I-DRUG_DOSAGE
) O
用 O
于 O
月 B-SYMPTOM
经 I-SYMPTOM
不 I-SYMPTOM
调 I-SYMPTOM
， O
乳 O
房 O
胀 O
痛 O
或 O
伴 O
见 O
颜 B-SYMPTOM
面 I-SYMPTOM
黄 I-SYMPTOM
褐 I-SYMPTOM
斑 I-SYMPTOM
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
0 O
. O
4 O
g O
* O
1 O
2 O
片 O
* O
3 O
板 O
END O
