孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
忌 O
服 O
。 O
尚 O
不 O
明 O
确 O
。 O
密 O
封 O
贮 O
藏 O
于 O
阴 O
凉 O
干 O
燥 O
处 O
。 O
每 O
片 O
重 O
0 O
. O
6 O
g O
( O
素 O
片 O
) O
; O
每 O
片 O
重 O
0 O
. O
3 O
1 O
g O
( O
薄 O
膜 O
衣 O
) O
口 O
服 O
。 O
一 O
次 O
4 O
片 O
， O
一 O
日 O
2 O
次 O
。 O
调 B-DRUG_EFFICACY
经 I-DRUG_EFFICACY
养 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
， O
理 B-DRUG_EFFICACY
气 I-DRUG_EFFICACY
化 I-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
。 O
用 O
于 O
血 B-SYNDROME
瘀 I-SYNDROME
气 I-SYNDROME
滞 I-SYNDROME
， O
月 O
经 O
不 O
调 O
， O
经 B-SYMPTOM
期 I-SYMPTOM
腹 I-SYMPTOM
痛 I-SYMPTOM
薄 B-DRUG_DOSAGE
膜 I-DRUG_DOSAGE
衣 I-DRUG_DOSAGE
非 O
处 O
方 O
药 O
物 O
（ O
甲 O
类 O
） O
天 O
津 O
中 O
新 O
药 O
业 O
集 O
团 O
股 O
份 O
有 O
限 O
公 O
司 O
隆 O
顺 O
榕 O
制 O
药 O
厂 O
END O
