孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
忌 O
服 O
。 O
本 O
品 O
为 O
棕 O
褐 O
色 O
液 B-DRUG_DOSAGE
体 I-DRUG_DOSAGE
， O
味 B-DRUG_TASTE
甜 I-DRUG_TASTE
、 O
微 B-DRUG_TASTE
辛 I-DRUG_TASTE
。 O
疏 O
肝 O
理 O
气 O
， O
活 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
化 I-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
， O
消 B-DRUG_EFFICACY
散 I-DRUG_EFFICACY
乳 I-DRUG_EFFICACY
块 I-DRUG_EFFICACY
。 O
用 O
于 O
肝 B-SYNDROME
气 I-SYNDROME
郁 I-SYNDROME
结 I-SYNDROME
， O
气 B-SYNDROME
滞 I-SYNDROME
血 I-SYNDROME
瘀 I-SYNDROME
， O
乳 B-SYMPTOM
腺 I-SYMPTOM
增 I-SYMPTOM
生 I-SYMPTOM
， O
乳 B-SYMPTOM
房 I-SYMPTOM
胀 I-SYMPTOM
痛 I-SYMPTOM
尚 O
不 O
明 O
确 O
。 O
贵 O
州 O
三 O
仁 O
堂 O
药 O
业 O
有 O
限 O
公 O
司 O
1 O
0 O
m O
l O
* O
6 O
支 O
尚 O
不 O
明 O
确 O
。 O
6 O
支 O
/ O
盒 O
。 O
口 O
服 O
， O
一 O
次 O
1 O
支 O
， O
一 O
日 O
3 O
次 O
或 O
遵 O
医 O
嘱 O
。 O
END O
