孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
禁 O
用 O
。 O
四 O
川 O
省 O
天 O
基 O
生 O
物 O
药 O
业 O
有 O
限 O
公 O
司 O
口 O
服 O
。 O
一 O
次 O
4 O
- O
1 O
0 O
粒 O
， O
一 O
日 O
2 O
次 O
， O
小 O
儿 O
酌 O
减 O
。 O
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
用 O
于 O
多 O
发 O
性 O
脓 B-SYMPTOM
肿 I-SYMPTOM
， O
甲 O
状 O
腺 O
结 O
节 O
、 O
淋 B-SYMPTOM
巴 I-SYMPTOM
结 I-SYMPTOM
节 I-SYMPTOM
、 O
乳 B-DISEASE
腺 I-DISEASE
增 I-DISEASE
生 I-DISEASE
等 O
偶 O
有 O
皮 O
肤 O
过 O
敏 O
反 O
应 O
。 O
0 O
. O
3 O
g O
× O
1 O
6 O
粒 O
本 O
品 O
为 O
胶 B-DRUG_DOSAGE
囊 I-DRUG_DOSAGE
剂 I-DRUG_DOSAGE
， O
内 O
容 O
物 O
为 O
黄 O
褐 O
色 O
的 O
粉 O
未 O
； O
气 B-DRUG_TASTE
香 I-DRUG_TASTE
， O
味 B-DRUG_TASTE
微 I-DRUG_TASTE
苦 I-DRUG_TASTE
。 O
0 O
. O
3 O
g O
* O
1 O
6 O
粒 O
/ O
盒 O
国 O
家 O
基 O
本 O
药 O
物 O
目 O
录 O
（ O
2 O
0 O
1 O
2 O
） O
散 B-DRUG_EFFICACY
结 I-DRUG_EFFICACY
消 I-DRUG_EFFICACY
肿 I-DRUG_EFFICACY
， O
化 B-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
。 O
用 O
于 O
阴 B-SYNDROME
疽 I-SYNDROME
初 I-SYNDROME
起 I-SYNDROME
， O
皮 B-SYNDROME
色 I-SYNDROME
不 I-SYNDROME
变 I-SYNDROME
， O
肿 B-SYNDROME
硬 I-SYNDROME
作 I-SYNDROME
痛 I-SYNDROME
， O
多 B-SYMPTOM
发 I-SYMPTOM
性 I-SYMPTOM
脓 I-SYMPTOM
肿 I-SYMPTOM
， O
瘿 O
瘤 O
， O
瘰 B-SYNDROME
疬 I-SYNDROME
， O
乳 B-SYNDROME
岩 I-SYNDROME
， O
乳 B-SYNDROME
癖 I-SYNDROME
END O
