孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
禁 O
用 O
。 O
每 O
片 O
重 O
0 O
. O
4 O
g O
( O
薄 O
膜 O
衣 O
片 O
) O
陕 O
西 O
康 O
惠 O
制 O
药 O
股 O
份 O
有 O
限 O
公 O
司 O
用 O
于 O
盆 B-DISEASE
腔 I-DISEASE
炎 I-DISEASE
， O
症 O
见 O
带 B-SYMPTOM
下 I-SYMPTOM
量 I-SYMPTOM
多 I-SYMPTOM
， O
下 B-SYMPTOM
腹 I-SYMPTOM
疼 I-SYMPTOM
痛 I-SYMPTOM
等 O
症 O
口 O
服 O
。 O
一 O
次 O
3 O
～ O
4 O
片 O
， O
一 O
日 O
3 O
次 O
。 O
尚 O
不 O
明 O
确 O
。 O
活 O
血 O
化 O
瘀 O
， O
清 B-DRUG_EFFICACY
利 I-DRUG_EFFICACY
湿 I-DRUG_EFFICACY
热 I-DRUG_EFFICACY
。 O
用 O
于 O
气 B-SYNDROME
滞 I-SYNDROME
血 B-SYNDROME
瘀 I-SYNDROME
， O
湿 B-SYNDROME
热 I-SYNDROME
蕴 O
结 O
之 O
盆 B-DISEASE
腔 I-DISEASE
炎 I-DISEASE
， O
症 O
见 O
带 B-SYMPTOM
下 I-SYMPTOM
量 I-SYMPTOM
多 I-SYMPTOM
， O
下 B-SYMPTOM
腹 I-SYMPTOM
疼 I-SYMPTOM
痛 I-SYMPTOM
END O
