孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
用 O
。 O
丸 O
剂 O
( O
水 B-DRUG_DOSAGE
蜜 I-DRUG_DOSAGE
丸 I-DRUG_DOSAGE
) O
4 O
g O
* O
6 O
袋 O
/ O
盒 O
山 O
西 O
华 O
康 O
药 O
业 O
股 O
份 O
有 O
限 O
公 O
司 O
本 O
品 O
为 O
棕 O
褐 O
色 O
的 O
水 B-DRUG_DOSAGE
蜜 I-DRUG_DOSAGE
丸 I-DRUG_DOSAGE
； O
味 B-DRUG_TASTE
甜 I-DRUG_TASTE
。 O
国 O
家 O
基 O
本 O
药 O
物 O
目 O
录 O
（ O
2 O
0 O
1 O
2 O
） O
子 O
宫 O
疾 O
病 O
用 O
药 O
用 O
于 O
妊 B-SYMPTOM
娠 I-SYMPTOM
后 I-SYMPTOM
漏 I-SYMPTOM
下 I-SYMPTOM
不 O
止 O
， O
胎 B-SYMPTOM
动 I-SYMPTOM
不 I-SYMPTOM
安 I-SYMPTOM
药 O
用 O
复 O
合 O
膜 O
， O
4 O
g O
* O
6 O
袋 O
。 O
用 O
于 O
妇 O
人 O
宿 O
有 O
瘕 B-SYMPTOM
块 I-SYMPTOM
， O
或 O
血 B-SYMPTOM
瘀 I-SYMPTOM
经 I-SYMPTOM
闭 I-SYMPTOM
， O
行 O
经 O
腹 O
痛 O
， O
产 B-SYMPTOM
后 I-SYMPTOM
恶 I-SYMPTOM
露 I-SYMPTOM
不 O
尽 O
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
口 O
服 O
， O
一 O
次 O
4 O
克 O
， O
一 O
日 O
1 O
～ O
2 O
次 O
。 O
END O
