祛 B-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
生 I-DRUG_EFFICACY
新 I-DRUG_EFFICACY
。 O
用 O
于 O
月 O
经 O
量 O
少 O
、 O
后 O
错 O
， O
经 B-SYMPTOM
来 I-SYMPTOM
腹 I-SYMPTOM
痛 I-SYMPTOM
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
三 O
金 O
集 O
团 O
湖 O
南 O
三 O
金 O
制 O
药 O
有 O
限 O
责 O
任 O
公 O
司 O
开 O
水 O
冲 O
服 O
， O
一 O
次 O
1 O
5 O
克 O
， O
一 O
日 O
2 O
次 O
。 O
1 O
5 O
g O
* O
1 O
0 O
袋 O
( O
三 O
金 O
) O
孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
禁 O
用 O
。 O
尚 O
不 O
明 O
确 O
。 O
1 O
. O
忌 O
食 O
生 O
冷 O
食 O
物 O
。 O
2 O
. O
气 B-SYNDROME
血 I-SYNDROME
两 I-SYNDROME
虚 I-SYNDROME
引 O
起 O
的 O
月 B-SYMPTOM
经 I-SYMPTOM
量 I-SYMPTOM
少 I-SYMPTOM
， O
色 O
淡 O
质 O
稀 O
， O
伴 O
有 O
头 B-SYMPTOM
晕 I-SYMPTOM
心 I-SYMPTOM
悸 I-SYMPTOM
， O
疲 B-SYMPTOM
乏 I-SYMPTOM
无 I-SYMPTOM
力 I-SYMPTOM
等 O
不 O
宜 O
选 O
用 O
本 O
药 O
。 O
3 O
. O
有 O
高 B-DISEASE
血 I-DISEASE
压 I-DISEASE
、 O
心 B-DISEASE_GROUP
脏 I-DISEASE_GROUP
病 I-DISEASE_GROUP
、 O
肾 B-DISEASE_GROUP
病 I-DISEASE_GROUP
、 O
糖 O
尿 O
病 O
或 O
正 O
在 O
接 O
受 O
其 O
他 O
治 O
疗 O
的 O
患 O
者 O
均 O
应 O
在 O
医 O
师 O
指 O
导 O
下 O
服 O
用 O
。 O
4 O
. O
平 O
素 O
月 O
经 O
量 O
正 O
常 O
， O
突 O
然 O
出 O
现 O
经 B-SYMPTOM
量 I-SYMPTOM
少 I-SYMPTOM
， O
须 O
去 O
医 O
院 O
就 O
诊 O
。 O
END O
