孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
用 O
。 O
国 O
家 O
医 O
保 O
目 O
录 O
（ O
乙 O
类 O
） O
口 O
服 O
。 O
大 O
片 O
一 O
次 O
4 O
片 O
， O
小 O
片 O
一 O
次 O
6 O
片 O
， O
一 O
日 O
3 O
次 O
。 O
3 O
0 O
～ O
4 O
5 O
日 O
为 O
一 O
疗 O
程 O
。 O
尚 O
不 O
明 O
确 O
。 O
清 O
热 O
解 O
毒 O
， O
清 B-DRUG_EFFICACY
利 I-DRUG_EFFICACY
湿 I-DRUG_EFFICACY
浊 I-DRUG_EFFICACY
， O
理 B-DRUG_EFFICACY
气 I-DRUG_EFFICACY
活 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
， O
消 B-DRUG_EFFICACY
炎 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
， O
祛 B-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
通 I-DRUG_EFFICACY
淋 I-DRUG_EFFICACY
。 O
用 O
于 O
急 B-DISEASE
性 I-DISEASE
前 I-DISEASE
列 I-DISEASE
腺 I-DISEASE
炎 I-DISEASE
、 O
前 B-DISEASE
列 I-DISEASE
腺 I-DISEASE
增 I-DISEASE
生 I-DISEASE
广 B-DRUG_INGREDIENT
东 I-DRUG_INGREDIENT
王 I-DRUG_INGREDIENT
不 I-DRUG_INGREDIENT
留 I-DRUG_INGREDIENT
行 I-DRUG_INGREDIENT
清 B-DRUG_EFFICACY
热 I-DRUG_EFFICACY
利 I-DRUG_EFFICACY
湿 I-DRUG_EFFICACY
、 O
祛 B-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
通 I-DRUG_EFFICACY
淋 I-DRUG_EFFICACY
， O
用 O
于 O
前 B-DISEASE
列 I-DISEASE
腺 I-DISEASE
炎 I-DISEASE
广 O
西 O
华 O
天 O
宝 O
药 O
业 O
有 O
限 O
公 O
司 O
片 O
芯 O
重 O
0 O
. O
2 O
6 O
g O
尚 O
不 O
明 O
确 O
。 O
END O
