孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
忌 O
服 O
。 O
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
国 O
家 O
医 O
保 O
目 O
录 O
（ O
乙 O
类 O
） O
本 O
品 O
为 O
硬 B-DRUG_DOSAGE
胶 I-DRUG_DOSAGE
囊 I-DRUG_DOSAGE
， O
内 O
容 O
物 O
为 O
棕 O
黄 O
色 O
至 O
棕 O
褐 O
色 O
粉 O
末 O
； O
气 B-DRUG_TASTE
微 I-DRUG_TASTE
香 I-DRUG_TASTE
， O
味 B-DRUG_TASTE
苦 I-DRUG_TASTE
、 O
微 B-DRUG_TASTE
咸 I-DRUG_TASTE
。 O
口 O
服 O
， O
一 O
次 O
2 O
～ O
4 O
粒 O
， O
一 O
日 O
2 O
～ O
3 O
次 O
。 O
用 O
于 O
气 O
虚 O
血 B-SYMPTOM
瘀 I-SYMPTOM
， O
痰 O
湿 O
凝 O
滞 O
引 O
起 O
的 O
慢 B-DISEASE
性 I-DISEASE
盆 I-DISEASE
腔 I-DISEASE
炎 I-DISEASE
吉 O
林 O
龙 O
鑫 O
药 O
业 O
有 O
限 O
公 O
司 O
铝 O
塑 O
包 O
装 O
， O
1 O
2 O
粒 O
/ O
板 O
， O
2 O
板 O
/ O
盒 O
0 O
. O
4 O
g O
* O
2 O
4 O
粒 O
活 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
， O
软 B-DRUG_EFFICACY
坚 I-DRUG_EFFICACY
散 I-DRUG_EFFICACY
结 I-DRUG_EFFICACY
。 O
用 O
于 O
气 B-SYMPTOM
虚 I-SYMPTOM
血 B-SYMPTOM
瘀 I-SYMPTOM
， O
痰 O
湿 O
凝 O
滞 O
引 O
起 O
的 O
慢 O
性 O
盆 B-DISEASE
腔 I-DISEASE
炎 I-DISEASE
， O
症 O
见 O
白 B-SYMPTOM
带 I-SYMPTOM
增 I-SYMPTOM
多 I-SYMPTOM
END O
