孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
慎 O
服 O
( O
前 O
三 O
个 O
月 O
内 O
禁 O
用 O
) O
。 O
国 O
家 O
医 O
保 O
目 O
录 O
（ O
乙 O
类 O
） O
尚 O
不 O
明 O
确 O
。 O
极 O
少 O
数 O
患 O
者 O
服 O
药 O
后 O
有 O
轻 O
度 O
恶 B-SYMPTOM
心 I-SYMPTOM
、 O
腹 B-SYMPTOM
泻 I-SYMPTOM
、 O
月 B-SYMPTOM
经 I-SYMPTOM
期 I-SYMPTOM
提 I-SYMPTOM
前 I-SYMPTOM
、 O
量 O
多 O
及 O
轻 B-SYMPTOM
微 I-SYMPTOM
药 I-SYMPTOM
疹 I-SYMPTOM
。 O
一 O
般 O
停 O
药 O
后 O
自 O
愈 O
。 O
口 O
服 O
。 O
一 O
次 O
2 O
- O
3 O
片 O
， O
一 O
日 O
3 O
次 O
， O
饭 O
后 O
服 O
。 O
2 O
0 O
天 O
为 O
一 O
个 O
疗 O
程 O
， O
间 O
隔 O
5 O
- O
7 O
天 O
继 O
续 O
第 O
二 O
个 O
疗 O
程 O
， O
可 O
连 O
续 O
用 O
药 O
。 O
疏 B-DRUG_EFFICACY
肝 I-DRUG_EFFICACY
解 I-DRUG_EFFICACY
郁 I-DRUG_EFFICACY
， O
理 B-DRUG_EFFICACY
气 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
痛 I-DRUG_EFFICACY
， O
活 B-DRUG_EFFICACY
血 I-DRUG_EFFICACY
破 I-DRUG_EFFICACY
瘀 I-DRUG_EFFICACY
， O
消 B-DRUG_EFFICACY
积 I-DRUG_EFFICACY
化 I-DRUG_EFFICACY
痰 I-DRUG_EFFICACY
， O
软 O
坚 O
散 O
结 O
， O
补 B-DRUG_EFFICACY
气 I-DRUG_EFFICACY
健 I-DRUG_EFFICACY
脾 I-DRUG_EFFICACY
。 O
用 O
于 O
乳 B-DISEASE
腺 I-DISEASE
增 I-DISEASE
生 I-DISEASE
用 O
于 O
乳 B-DISEASE
腺 I-DISEASE
增 I-DISEASE
生 I-DISEASE
0 O
. O
3 O
克 O
/ O
片 O
安 O
康 O
正 O
大 O
制 O
药 O
有 O
限 O
公 O
司 O
如 O
与 O
其 O
他 O
药 O
物 O
同 O
时 O
使 O
用 O
可 O
能 O
会 O
发 O
生 O
药 O
物 O
相 O
互 O
作 O
用 O
， O
详 O
情 O
请 O
咨 O
询 O
医 O
师 O
或 O
药 O
师 O
。 O
3 O
6 O
个 O
月 O
。 O
END O
