益 B-DRUG_EFFICACY
肾 I-DRUG_EFFICACY
壮 I-DRUG_EFFICACY
阳 I-DRUG_EFFICACY
。 O
用 O
于 O
肾 B-SYNDROME
亏 I-SYNDROME
阳 I-SYNDROME
痿 I-SYNDROME
， O
早 B-SYMPTOM
泄 I-SYMPTOM
， O
遗 B-SYMPTOM
精 I-SYMPTOM
， O
少 B-SYMPTOM
精 I-SYMPTOM
， O
死 B-SYMPTOM
精 I-SYMPTOM
口 O
服 O
， O
一 O
次 O
3 O
～ O
4 O
粒 O
， O
一 O
日 O
3 O
次 O
。 O
4 O
8 O
s O
/ O
盒 O
。 O
红 O
桃 O
开 O
药 O
业 O
股 O
份 O
有 O
限 O
公 O
司 O
中 O
药 O
保 O
护 O
品 O
种 O
二 O
级 O
用 O
于 O
肾 B-SYNDROME
亏 I-SYNDROME
阳 I-SYNDROME
痿 I-SYNDROME
， O
早 B-SYMPTOM
泻 I-SYMPTOM
， O
遗 B-SYMPTOM
精 I-SYMPTOM
， O
少 O
精 O
， O
死 B-SYMPTOM
精 I-SYMPTOM
男 B-DISEASE_GROUP
性 I-DISEASE_GROUP
不 I-DISEASE_GROUP
育 I-DISEASE_GROUP
症 I-DISEASE_GROUP
尚 O
不 O
明 O
确 O
。 O
尚 O
不 O
明 O
确 O
。 O
尚 O
不 O
明 O
确 O
。 O
0 O
. O
3 O
3 O
g O
* O
4 O
8 O
s O
( O
红 O
桃 O
K O
) O
END O
