孕 B-PERSON_GROUP
妇 I-PERSON_GROUP
禁 O
用 O
。 O
口 O
服 O
。 O
一 O
次 O
1 O
丸 O
， O
一 O
日 O
2 O
次 O
。 O
补 B-DRUG_EFFICACY
气 I-DRUG_EFFICACY
养 I-DRUG_EFFICACY
血 I-DRUG_EFFICACY
， O
调 B-DRUG_EFFICACY
经 I-DRUG_EFFICACY
止 I-DRUG_EFFICACY
带 I-DRUG_EFFICACY
。 O
用 O
于 O
气 B-SYNDROME
血 I-SYNDROME
两 I-SYNDROME
虚 I-SYNDROME
， O
身 B-SYMPTOM
体 I-SYMPTOM
瘦 I-SYMPTOM
弱 I-SYMPTOM
， O
腰 B-SYMPTOM
膝 I-SYMPTOM
酸 I-SYMPTOM
软 I-SYMPTOM
， O
月 B-SYMPTOM
经 I-SYMPTOM
量 I-SYMPTOM
少 I-SYMPTOM
肝 B-DISEASE
损 I-DISEASE
伤 I-DISEASE
每 O
丸 O
重 O
9 O
g O
如 O
果 O
服 O
用 O
任 O
何 O
其 O
他 O
药 O
品 O
请 O
告 O
知 O
医 O
师 O
或 O
药 O
师 O
， O
包 O
括 O
任 O
何 O
从 O
药 O
房 O
、 O
超 O
市 O
或 O
保 O
健 O
品 O
商 O
店 O
购 O
买 O
的 O
非 O
处 O
方 O
药 O
品 O
。 O
本 O
药 O
内 O
所 O
含 O
人 B-DRUG_INGREDIENT
参 I-DRUG_INGREDIENT
、 O
白 B-DRUG_INGREDIENT
芍 I-DRUG_INGREDIENT
， O
反 B-DRUG_INGREDIENT
藜 I-DRUG_INGREDIENT
芦 I-DRUG_INGREDIENT
， O
忌 O
与 O
含 B-DRUG_INGREDIENT
藜 I-DRUG_INGREDIENT
芦 I-DRUG_INGREDIENT
的 O
药 O
物 O
同 O
用 O
。 O
本 O
药 O
内 O
所 O
含 O
甘 B-DRUG_INGREDIENT
草 I-DRUG_INGREDIENT
， O
反 B-DRUG_INGREDIENT
甘 I-DRUG_INGREDIENT
遂 I-DRUG_INGREDIENT
、 O
大 B-DRUG_INGREDIENT
戟 I-DRUG_INGREDIENT
、 O
海 B-DRUG_INGREDIENT
藻 I-DRUG_INGREDIENT
、 O
芫 B-DRUG_INGREDIENT
花 I-DRUG_INGREDIENT
， O
忌 O
与 O
含 O
甘 O
遂 O
、 O
大 B-DRUG_INGREDIENT
戟 I-DRUG_INGREDIENT
、 O
海 B-DRUG_INGREDIENT
藻 I-DRUG_INGREDIENT
、 O
芫 B-DRUG_INGREDIENT
花 I-DRUG_INGREDIENT
的 O
药 O
物 O
同 O
用 O
。 O
服 O
药 O
期 O
间 O
避 O
免 O
与 O
生 B-FOOD_GROUP
冷 I-FOOD_GROUP
、 O
辛 B-FOOD_GROUP
辣 I-FOOD_GROUP
、 O
荤 B-FOOD_GROUP
腥 I-FOOD_GROUP
油 B-FOOD_GROUP
腻 I-FOOD_GROUP
、 O
不 O
易 O
消 O
化 O
食 O
品 O
同 O
用 O
， O
戒 O
烟 O
酒 O
， O
以 O
防 O
助 O
湿 O
化 O
热 O
， O
加 O
重 O
病 O
情 O
。 O
END O
